name,rarity,cost,effect,category,scaling,tags,image,archetype,strategy,test_idea,type,activation,unlock,probability,copyable,perishable,eternal,wiki_number
Juggler,Common,4,+1 hand size,Utility,no,hand-size,Juggler.png,Utility/Glue,"+1 hand size — more selection every hand, better flush/straight assembly, deeper holds for Baron-style builds. Invisible but everywhere.",Theory: +1 hand size raises your average best-play score by ~10%. Sample five hands in the optimizer with 8 vs. 9 cards.,Effect,N/A (Passive),,,0,1,1,87
Loyalty Card,Uncommon,5,X4 Mult every 6 hands played,xMult,no,xmult,Loyalty_Card.png,xMult Payoff,×4 every sixth hand — a metronome payoff. Count your hands and SAVE the ×4 for the hand that matters; wasting it on a small blind is the classic error.,Plan a round in the optimizer: five setup hands then the ×4 closer vs. six flat hands. Rhythm beats rate.,Multiplicative Mult,Independent,,,1,1,1,25
Luchador,Uncommon,5,Sell this card to disable the current Boss Blind,Utility,no,blind-aware,Luchador.png,Utility/Glue,"Sell it to disable the current boss blind — a one-shot Chicot. Carry it as insurance against your build's hard counter, spend it exactly once, exactly right.","Name the one boss that ends your run. Luchador's whole value is that name — if you can't name it, sell now.",Effect,N/A (Passive),,,1,1,0,77
Lucky Cat,Uncommon,6,This Joker gains X0.25 Mult every time a Lucky card successfully triggers,xMult,yes,enhancements|scaling|xmult,Lucky_Cat.png,Scaling Engine,Gains ×0.25 every time a Lucky card triggers — turns gambling into compounding. Magician-tarot your low cards and every lucky proc is both Mult now AND × forever.,Enter its current × each ante. Theory: 10 lucky procs (×3.5) arrives faster than Constellation's equivalent. Race them.,Multiplicative Mult,Mixed,,,1,0,1,91
Lusty Joker,Common,5,Played cards with Hearts suit give +3 Mult when scored,+Mult,no,+mult|suit:Hearts,Lusty_Joker.png,Mult Battery,+3 Mult per scored Heart — heart-suit filler. Same rules as its siblings: match your sculpting plan or skip.,"Optimizer: your heart-heavy hand with vs. without. If the delta bores you, the slot wants a scaler.",Additive Mult,On Scored,,,1,1,1,3
Mad Joker,Common,4,+10 Mult if played hand contains a Two Pair,+Mult,no,+mult|hand:Four of a Kind,Mad_Joker.png,Mult Battery,"+10 Mult on Two Pair — filler for the pair-spam lane. Two Pair is easy to assemble, so it triggers constantly; it just never scales.",Optimizer: Two Pair + Mad vs. Full House bare — cheap consistency vs. rank. Which clears this blind?,Additive Mult,Independent,,,1,1,1,8
Madness,Uncommon,7,"When Small Blind or Big Blind is selected, gain X0.5 Mult and destroy a random Joker",xMult,no,blind-aware|destruction|joker-synergy|xmult,Madness.png,Scaling Engine,Gains ×0.5 each blind selected — but DESTROYS a random other joker each time. A deal with the devil: feed it junk early and it outgrows everything; feed it your engine and weep.,"Board math: with 2 protected keepers and 2 sacrifices, how many blinds until Madness (×3+) has paid for the funerals?",Multiplicative Mult,Independent,,,1,0,1,64
Mail-In Rebate,Common,4,"Earn $5 for each discarded [rank], rank changes every round",Economy,no,aces|discards|economy,Mail-In_Rebate.png,Economy,$5 per discarded card of a chosen rank (changes each round) — turns targeted discards into income. Check the rank every round; sometimes the discard IS the play.,One ante: dollars earned chasing the rebate rank vs. hands weakened by chasing it. Net it out honestly.,Economy,On Discard,,,1,1,1,83
Marble Joker,Uncommon,6,Adds one Stone card to the deck when Blind is selected,Utility,no,deck-size|enhancements,Marble_Joker.png,Deck Sculptor,Adds a Stone card to your deck each blind — stones always score (+50 chips) but never make hands. Great with Splash/Stone Joker; quiet dilution otherwise.,Optimizer: your flush with one stone passenger scored vs. five natural cards — is +50 worth the dead draw?,Effect,On Blind Select,,,1,1,1,24
Matador,Uncommon,7,Earn $8 if played hand triggers the Boss Blind ability,Economy,no,blind-aware|economy,Matador.png,Economy,$8 when the boss blind's ability triggers — pays you for walking into the punch. Best against bosses whose trigger is constant; useless against one-shot effects.,"Before each boss: will its ability trigger 2+ times? If yes, Matador out-earns Golden Joker this round.",Economy,Independent,Defeat a Boss Blind in 1 hand without using any discards,,1,1,1,129
Merry Andy,Uncommon,7,"+3 discards each round, -1 hand size",Utility,no,discards|hand-size,Merry_Andy.png,Utility/Glue,"+3 discards but -1 hand size — digging power at the cost of selection. Loves discard engines (Castle, Hit the Road, rebates); hurts big-hand assembly.","Theory: with Castle on board, Merry Andy's extra discards scale more chips than the lost hand-size costs. Track one ante.",Effect,N/A (Passive),Win a run in 12 or fewer rounds,,0,1,1,125
Midas Mask,Uncommon,7,All played face cards become Gold cards when scored,Utility,no,aces|enhancements|face-cards,Midas_Mask.png,Deck Sculptor,"Played face cards turn Gold — combos with Golden Ticket into a face-card mint. Without Ticket it's mostly making your faces worth holding, not playing.",Pair test: Midas + Golden Ticket for one ante — total the $ from gilded faces vs. two economy jokers.,Effect,On Played,,,0,1,1,76
Mime,Uncommon,5,Retrigger all card held in hand abilities,Retrigger,no,held-in-hand|retrigger,Mime.png,Retrigger,Retriggers all held-in-hand effects — Baron's soulmate. Steel cards and held Kings double-dip; the entire held-hand archetype starts here.,"Optimizer: Baron + 2 held Kings, then imagine each King triggering twice (×1.5→×2.25 each). That's Mime.",Retrigger,On Held,,,1,1,1,19
Misprint,Common,4,+0-23 Mult,Utility,no,,Misprint.png,Mult Battery,"+0 to +23 Mult, random every hand — averages a solid +11.5 with pure chaos attached. Fine early; the variance is a tax on planning must-win hands.","Compare EV vs. Optimist mode in the optimizer — if the worst roll loses you the blind, Misprint isn't a real +11.",Additive Mult,Independent,,,1,1,1,27
Mr. Bones,Uncommon,5,"Prevents Death if chips scored are at least 25% of required chips, self destructs",Utility,no,,Mr._Bones.png,Utility/Glue,"Saves you from death once (if you scored 25%+ of the blind), then leaves. A run-insurance policy — its value is every risky line you get to take BECAUSE it exists.","Count the greedy plays you made only because Bones was there. That freedom, not the rescue, is the product.",Effect,N/A (Passive),Lose 5 runs,,0,1,0,107
Mystic Summit,Common,5,+15 Mult when 0 discards remaining,+Mult,no,+mult|discards,Mystic_Summit.png,Mult Battery,+15 Mult when you're on 0 discards — rewards either spending them all fast or running Burglar's no-discard life. Timing joker: your LAST hands each round get the bonus.,Optimizer: your closer at +15 (discards spent) — worth sequencing discards early every round? Usually yes.,Additive Mult,Independent,,,1,1,1,23
Obelisk,Rare,8,This Joker gains X0.2 Mult per consecutive hand played without playing your most played poker hand,xMult,yes,scaling|xmult,Obelisk.png,Scaling Engine,"Gains ×0.2 per hand played that is NOT your most-played hand — pays you for variety and punishes one-trick decks. Weird, and weirdly strong with balanced builds.",Track it one run: does deliberately rotating hand types keep Obelisk above ×2 without wrecking your levels?,Multiplicative Mult,Mixed,,,1,0,1,75
Odd Todd,Common,4,"Played cards with odd rank give +31 Chips when scored (A, 9, 7, 5, 3)",+Chips,no,+chips,Odd_Todd.png,Chip Battery,+31 chips per scored odd card — Even Steven's mirror. Ace counts. Parity-sculpted decks turn every hand into a chip engine.,Optimizer: all-odd hand (A/3/5/7/9) with Todd vs. mixed — parity discipline priced in chips.,Chips,On Scored,,,1,1,1,40
Onyx Agate,Uncommon,7,Played cards with Clubs suit give +7 Mult when scored,+Mult,no,+mult|suit:Clubs,Onyx_Agate.png,Mult Battery,"+7 Mult per scored Club — the biggest suit-mult. Club flushes with Agate are a genuine early engine, not just filler.",Optimizer: 5-club flush = +35 Mult from Agate alone. Compare against The Tribe's ×2 at your current mult.,Additive Mult,On Scored,Have at least 30 cards with Club suit in your deck,,1,1,1,119
Oops! All 6s,Uncommon,4,Doubles all listed probabilities (ex: 1 in 3 -> 2 in 3),Utility,no,,Oops!_All_6s.png,Rule Bender,"Doubles all listed probabilities — lucky cards hit 1-in-2, Bloodstone flips get friendly, Wheel of Fortune stops insulting you. A build enabler for gambling decks.","Optimist vs. EV mode in the optimizer approximates its effect on lucky builds — measure the uplift, then imagine it real.",Effect,N/A (Passive),"In one hand, earn at least 10,000 chips",,0,1,1,126
Pareidolia,Uncommon,5,All cards are considered face cards,Utility,no,aces|face-cards,Pareidolia.png,Rule Bender,"EVERY card is a face card — Business Card pays on everything, Scary Face/Smiley Face trigger always, Sock and Buskin retriggers everything. A whole archetype in one slot.",Optimizer: toggle Pareidolia with Sock and Buskin — every card scoring twice turns junk hands into engines.,Effect,N/A (Passive),,,0,1,1,37
Perkeo,Legendary,20,Creates a Negative copy of 1 random consumable card in your possession at the end of the shop,Utility,no,consumables|copycat|shop,Perkeo.png,Consumable Engine,Legendary: duplicates a random consumable at shop exit — infinite copies of whatever you're hoarding. Park a Black Hole or key Tarot and let the printer run.,Hold exactly one premium consumable through 3 shops — count the copies. That's compounding you can plan around.,Effect,N/A (Passive),Find this Joker from the Soul card.,,1,1,1,150
Photograph,Common,5,First played face card gives X2 Mult when scored,xMult,no,aces|face-cards|xmult,Photograph.png,xMult Payoff,First scored face card gets ×2 — a positional payoff. Lead with your best face; combos with retriggers and face-heavy sculpting.,Optimizer: face card first vs. buried in the order — quantify the leading-face premium on your usual hand.,Multiplicative Mult,On Scored,,,1,1,1,78
Popcorn,Common,5,"+20 Mult, -4 Mult per round played",+Mult,yes,+mult|scaling,Popcorn.png,Mult Battery,"+20 Mult shrinking -4 per round — strongest today, gone by Friday. Like Ice Cream, it's a rental for the current wall, not a plan.","Five rounds to zero: does it bridge you to the next real engine? If nothing's coming, the slot is dying capital.",Additive Mult,Independent,,,1,1,0,97
Raised Fist,Common,5,Adds double the rank of lowest ranked card held in hand to Mult,Utility,no,held-in-hand,Raised_Fist.png,Mult Battery,Adds double the rank of your LOWEST held card as Mult — hold a King low (20 Mult) or exploit it with deliberately tall holds. The trick: your hand's floor becomes the stat.,Optimizer: same play holding a 2 vs. holding a King as the lowest card — watch the held-hand composition move the score.,Additive Mult,On Held,,,1,1,1,29
Ramen,Uncommon,6,"X2 Mult, loses X0.01 Mult per card discarded",xMult,yes,discards|scaling|xmult,Ramen.png,xMult Payoff,×2 that loses ×0.01 per discarded card — a melting multiplier. No-discard discipline keeps it near-permanent; discard-heavy builds dissolve it in three antes.,"At your discard rate, compute its half-life. Under Banner-style play does Ramen effectively become a permanent ×2?",Multiplicative Mult,Mixed,,,1,1,0,100
Red Card,Common,5,This Joker gains +3 Mult when any Booster Pack is skipped,+Mult,yes,+mult|scaling,Red_Card.png,Scaling Engine,"+3 Mult per booster pack SKIPPED — pays you for shop discipline. An economy-adjacent scaler: skip packs, bank money, grow mult. Triple win for tight players.",Enter its current value each ante — does pack-skipping scale it past +15 by ante 4 while your wallet also grows?,Additive Mult,Independent,,,1,0,1,63
Reserved Parking,Common,6,Each face card held in hand has a 1 in 2 chance to give $1,Economy,no,aces|economy|face-cards|held-in-hand|probability,Reserved_Parking.png,Economy,Face cards held in hand coin-flip $1 each hand — passive income from cards you were hoarding anyway. Baron-style King-holders get paid twice.,One ante of King-hoarding: total the parking meter. It's small — but it's rent on cards doing other jobs.,Economy,On Held,,1 in 2,1,1,1,82
Ride the Bus,Common,6,This Joker gains +1 Mult per consecutive hand played without a scoring face card,+Mult,yes,+mult|aces|face-cards|scaling,Ride_the_Bus.png,Scaling Engine,"+1 Mult per consecutive hand WITHOUT face cards; resets when one scores. The classic discipline engine — sculpt faces out or never play them, and it grows forever.",Enter its current value each ante. Theory: a faceless deck rides it past +20 by ante 6. Your log will settle it.,Additive Mult,Mixed,,,1,0,1,44
Riff-Raff,Common,6,"When Blind is selected, create 2 Common Jokers (Must have room)",Utility,no,blind-aware|joker-synergy,Riff-Raff.png,Utility/Glue,"Two free Common jokers each blind — board-filler that feeds Ceremonial Dagger, sell-value engines, and Baseball-adjacent shenanigans. Value is what you DO with the freebies.","With Dagger or Gift Card on board, total one ante of freebie value. Without them? It's clutter with a smile.",Effect,On Blind Select,,,1,1,1,67
Rocket,Uncommon,6,Earn $1 at end of round. Payout increases by $2 when Boss Blind is defeated,Economy,yes,blind-aware|economy|scaling,Rocket.png,Economy,"Pays $1/round, +$2 permanently each boss beaten — compound interest with a fuse. Early purchase compounds; late purchase never catches Golden Joker.",Compute its cumulative payout from THIS ante to run's end vs. Golden Joker's flat $4 — the crossover ante decides.,Economy,N/A (Passive),,,0,0,1,74
Rough Gem,Uncommon,7,Played cards with Diamonds suit earn $1 when scored,Economy,no,economy|suit:Diamonds,Rough_Gem.png,Economy,$1 per scored Diamond — a toll booth on a suit you're already playing. Diamond-flush builds collect passively; anyone else shrugs.,One ante of diamond plays: does the toll beat Golden Joker's $4? Needs ~5 scored diamonds a round.,Economy,On Scored,Have at least 30 cards with Diamond suit in your deck,,1,1,1,116
Runner,Common,5,Gains +15 Chips if played hand contains a Straight,+Chips,yes,+chips|hand:Straight|scaling|straights,Runner.png,Scaling Engine,Gains +15 chips per Straight played — a chip engine that rewards commitment to the straight lane. With Shortcut/Four Fingers it compounds quickly.,Enter its current chips each ante — five straights in (+75) it rivals fixed chip jokers and keeps going.,Chips,Mixed,,,1,0,1,49
Satellite,Uncommon,6,Earn $1 at end of round per unique Planet card used this run,Economy,yes,economy|planet|scaling,Satellite.png,Economy,$1 per round per unique Planet used this run — economy that scales with your celestial habit. Astronomer feeds it; by late game it out-earns Golden Joker.,Count unique planets used; that's your per-round payout. Find the ante where it passed $4 — earlier than you thought?,Economy,N/A (Passive),Have at least $400.,,0,1,1,139
Scary Face,Common,4,Played face cards give +30 Chips when scored,+Chips,no,+chips|aces|face-cards,Scary_Face.png,Chip Battery,+30 chips per scored face card — face-density filler that Pareidolia upgrades to 'every card'. Honest chips for royal-heavy decks.,Optimizer: K-Q-J heavy hand with vs. without — then add Pareidolia to see the ceiling.,Chips,On Scored,,,1,1,1,33
Scholar,Common,4,Played Aces give +20 Chips and +4 Mult when scored,+Mult,no,+chips|+mult|aces,Scholar.png,Mult Battery,"Aces give +20 chips AND +4 Mult — makes every Ace a dual-stat card. Ace-retention plans (DNA copies, Hack? no—Aces aren't retriggered by Hack) love it.","Optimizer: pair of Aces + Scholar vs. pair of Kings + nothing — the Ace premium, quantified.",Chips and Additive Mult,On Scored,,,1,1,1,41
Seeing Double,Uncommon,6,X2 Mult if played hand has a scoring Clubs card and a scoring card of any other suit,xMult,no,suit:Clubs|xmult,Seeing_Double.png,xMult Payoff,×2 when a Club scores alongside another suit — a two-suit handshake. Club-plus-anything hands are easy to sculpt; wild cards make it near-automatic.,Optimizer: club-inclusive flush-five vs. mono-heart — is keeping one club lane worth a standing ×2?,Multiplicative Mult,Independent,Play a hand that contains four 7 of Clubs,,1,1,1,128
Seltzer,Uncommon,6,Retrigger all cards played for the next 10 hands,Retrigger,no,retrigger,Seltzer.png,Retrigger,Retriggers ALL played cards for 10 hands — a rental Dusk-for-every-hand. Ten hands of double value: schedule it for the ante you must crush.,Optimizer: your standard play doubled per-card vs. normal — multiply by 10 hands; that's Seltzer's total value.,Retrigger,On Scored,,,1,1,0,102
Shoot the Moon,Common,5,Each Queen held in hand gives +13 Mult,+Mult,no,+mult|face-cards|held-in-hand,Shoot_the_Moon.png,Mult Battery,+13 Mult per Queen HELD in hand — Baron's little sister. Queen-hoarding with cheap plays stacks fast; Mime retriggers make it silly.,Optimizer: hold 3 Queens (+39 Mult) behind a tiny pair — versus playing 'real' hands. Held-hand builds in one experiment.,Additive Mult,On Held,Play every Heart card in your deck in one round.,,1,1,1,140
Shortcut,Uncommon,7,Allows Straights to be made with gaps of 1 rank (ex: 10 8 6 5 3),Utility,no,hand:Straight|straights,Shortcut.png,Rule Bender,Straights can skip one rank (e.g. 3-5-7-9-J) — straight assembly stops being a lottery. The enabler that makes straight builds actually consistent.,Optimizer with Shortcut on: count how many of your last 8 hands contain a gapped straight you'd have missed.,Effect,N/A (Passive),,,0,1,1,69
Showman,Uncommon,5,"Joker, Tarot, Planet, and Spectral cards may appear multiple times",Utility,no,joker-synergy|planet|spectral|tarot,Showman.png,Utility/Glue,Jokers and consumables can appear as duplicates — enables double-Blueprint fantasies and consumable stacking. A rule-bender for combo enjoyers with a plan.,"Name the card you want a second copy of. No answer = no Showman. With an answer, it's a build unlock.",Effect,N/A (Passive),Reach Ante level 4,,0,1,1,121
Sixth Sense,Uncommon,6,"If first hand of round is a single 6, destroy it and create a Spectral card (Must have room)",Utility,no,destruction|hand-timing|spectral,Sixth_Sense.png,Consumable Engine,Destroy a played lone 6 → gain a Spectral card. Spectrals are the game's wildest sculpting tools; a 6-recycling routine prints them.,"Keep two 6s alive for three antes: how many Spectrals did the ritual print, and what did they let you build?",Effect,N/A (Passive),,,0,1,1,54
Sly Joker,Common,3,+50 Chips if played hand contains a Pair,+Chips,no,+chips|hand:Pair,Sly_Joker.png,Chip Battery,"+50 chips on Pairs — day-one filler. The first joker you buy and the first you sell, as tradition demands.",Optimizer: exactly how many antes until +50 chips stops covering blind inflation? Set a sell reminder.,Chips,Independent,,,1,1,1,11
Smeared Joker,Uncommon,7,"Hearts and Diamonds count as the same suit, Spades and Clubs count as the same suit",Utility,no,suit:Clubs|suit:Diamonds|suit:Hearts|suit:Spades,Smeared_Joker.png,Rule Bender,"Hearts=Diamonds, Spades=Clubs — your four-suit deck becomes two suits and flushes nearly double in frequency. Ancient Joker and suit-mults get twice the targets.",Optimizer with Smeared on: count flushes in your next 8 hands vs. the 8 before. The rate change IS the argument.,Effect,N/A (Passive),Have at least 3 Wild Card in your deck,,0,1,1,113
Smiley Face,Common,4,Played face cards give +5 Mult when scored,+Mult,no,+mult|aces|face-cards,Smiley_Face.png,Mult Battery,+5 Mult per scored face card — the Mult twin of Scary Face. Face-heavy plays love it; Pareidolia makes it universal.,Optimizer: 3-face hand = +15 Mult. Compare with Scary Face's +90 chips on the same hand — which half do you need?,Additive Mult,On Scored,,,1,1,1,104
Sock and Buskin,Uncommon,6,Retrigger all played face cards,Retrigger,no,aces|face-cards|retrigger,Sock_and_Buskin.png,Retrigger,"Retriggers ALL scored face cards — the face-build engine room. Photograph, Midas, Smiley/Scary, steel faces: everything face-flavored doubles.",Optimizer: pair of Kings with vs. without — then stack Photograph and watch the first King get absurd.,Retrigger,On Scored,Play a total of 300 face cards,,1,1,1,109
Space Joker,Uncommon,5,1 in 4 chance to upgrade level of played poker hand,Utility,no,probability,Space_Joker.png,Utility/Glue,"1-in-4 chance to level your played hand each play — free planet-drip on your most-played hand. Passive, variance-y, quietly compounding for one-hand decks.",Over 20 plays expect ~5 free levels. Check your run log: did your main hand's level match the math?,Effect,On Played,,1 in 4,1,1,1,45
Spare Trousers,Uncommon,6,This Joker gains +2 Mult if played hand contains a Two Pair,+Mult,yes,+mult|hand:Pair|scaling,Spare_Trousers.png,Scaling Engine,"Gains +2 Mult every time you play Two Pair — the pair-spam pedometer. Two Pair is the easiest hand to assemble on demand, so it scales on autopilot.",Enter its current value each ante — ten Two Pairs in (+20) it beats every flat Mult joker. Time the crossover.,Additive Mult,Mixed,,,1,0,1,98
Splash,Common,3,Every played card counts in scoring,Utility,no,,Splash.png,Rule Bender,EVERY played card scores — junk cards become chip donors and per-card jokers trigger on all five. Redefines 'best hand' toward biggest pile.,Optimizer with Splash: a pair plus three fat off-cards vs. the clean pair — watch the garbage earn wages.,Effect,N/A (Passive),,,0,1,1,52
Square Joker,Common,4,This Joker gains +4 Chips if played hand has exactly 4 cards,+Chips,yes,+chips|scaling,Square_Joker.png,Scaling Engine,"Gains +4 chips per 4-card hand played — with Four Fingers making 4-card flushes/straights standard, it scales on your natural rhythm.",Enter its current chips each ante alongside Four Fingers — is the 4-card lifestyle feeding it 3+ times a round?,Chips,Mixed,,,1,0,1,65
Steel Joker,Uncommon,7,Gives X0.2 Mult for each Steel Card in your full deck,xMult,yes,deck-size|enhancements|joker-synergy|scaling|xmult,Steel_Joker.png,xMult Payoff,"×0.2 per Steel card in your DECK (not hand) — the payoff for Chariot-tarot investment. Five steels = ×2 always-on, no holding required.",Count your steels; enter the implied × in the optimizer. Compare against Baron's held-King alternative for the same Tarots.,Multiplicative Mult,Independent,,,1,1,1,32
Stone Joker,Uncommon,6,Gives +25 Chips for each Stone Card in your full deck,+Chips,yes,+chips|deck-size|enhancements|joker-synergy|scaling,Stone_Joker.png,Chip Battery,+25 chips per Stone card in deck — Marble Joker's payoff. A stone-manufacturing pipeline turns dead cards into a permanent chip wall.,"With Marble adding one stone per blind, project the chips two antes out — when does it pass +100 standing?",Chips,Independent,,,1,1,1,89
Stuntman,Rare,7,"+250 Chips, -2 hand size",+Chips,no,+chips|hand-size,Stuntman.png,Chip Battery,"+250 chips for -2 hand size — a huge battery with a real cost: worse selection, harder flushes. Best when your hand type is cheap to assemble (pairs) or your holds are small.","Optimizer: your usual play +250 chips vs. the better hands 2 extra cards would find. The trade, in numbers.",Chips,Independent,"Earn at least 100 million (100,000,000) Chips in a single hand.",,1,1,1,136
Supernova,Common,5,Adds the number of times poker hand has been played this run to Mult,Utility,no,,Supernova.png,Mult Battery,Adds the number of times you've played this hand type as Mult — one-trick decks turn repetition itself into a stat. Your 40th flush brings +40.,Check your most-played count; that's Supernova's value on that hand. When does it pass your flat-Mult filler?,Additive Mult,Independent,,,1,1,1,43
Superposition,Common,4,Create a Tarot card if poker hand contains an Ace and a Straight (Must have room),Utility,no,aces|hand:Straight|straights|tarot,Superposition.png,Consumable Engine,Straight containing an Ace → free Tarot. A-2-3-4-5 (or Shortcut gaps) becomes a Tarot vending machine for straight builds.,Three Ace-straights = three Tarots. Worth bending toward the wheel straight? Count what the Tarots bought you.,Effect,Independent,,,1,1,1,59
Swashbuckler,Common,4,Adds the sell value of all other owned Jokers to Mult,Economy,no,economy|joker-synergy,Swashbuckler.png,Mult Battery,Adds the sell value of your OTHER jokers as Mult — a board-worth meter. Gift Card inflates it; expensive boards make it a genuine engine.,Total your board's sell value; that's the +Mult. Does buying pricier jokers now carry a hidden double payoff?,Additive Mult,Independent,Sell a total of 20 Joker cards,,1,1,1,110
Séance,Uncommon,6,"If poker hand is a Straight Flush, create a random Spectral card (Must have room)",Utility,no,hand:Straight Flush|spectral|straights,Séance.png,Consumable Engine,Straight Flush → free Spectral card. The rarest hand prints the rarest consumable — mono-suit straight builds get a jackpot rider.,"If you land one Straight Flush per two antes, is the Spectral stream worth a slot? Only committed builds say yes.",Effect,Independent,,,1,1,1,66
The Duo,Rare,8,X2 Mult if played hand contains a Pair,xMult,no,hand:Pair|xmult,The_Duo.png,xMult Payoff,"×2 if the hand CONTAINS a Pair — the easiest condition in the multiplicative family. Full houses, two pairs, trips all qualify; it's a near-unconditional ×2 for pair-adjacent decks.","Optimizer: stack The Duo with one more ×2 on a full house — multiplicative stacking (×4, not +4) in one glance.",Multiplicative Mult,Independent,Win a run without playing a Pair.,,1,1,1,131
The Family,Rare,8,X4 Mult if played hand contains a Four of a Kind,xMult,no,hand:Four of a Kind|xmult,The_Family.png,xMult Payoff,×4 on hands containing Four of a Kind — the biggest conditional × on the tightest condition. DNA-duplicated ranks and rank-sculpting make it reachable.,Optimizer: your best quads with ×4 vs. your best flush with ×2 — which archetype's ceiling is truly higher?,Multiplicative Mult,Independent,Win a run without playing a Four of a Kind.,,1,1,1,133
The Idol,Uncommon,6,"Each played [rank] of [suit] gives X2 Mult when scored, Card changes every round",xMult,no,xmult,The_Idol.png,xMult Payoff,"×2 per scored copy of a specific card (changes each round) — a lottery you can rig with duplicated decks (DNA, Cryptid). Random for tourists, an engine for engineers.",Set the Idol card in the optimizer to one you hold 3 copies of — watch ×8 appear from 'random'.,Multiplicative Mult,On Scored,"In one hand, earn at least 1,000,000 chips",,1,1,1,127
The Order,Rare,8,X3 Mult if played hand contains a Straight,xMult,no,hand:Straight|straights|xmult,The_Order.png,xMult Payoff,"×3 on hands containing a Straight — the straight lane's big payoff. With Shortcut/Four Fingers feeding consistency, it's the reason the archetype works.",Optimizer: straight + The Order vs. flush + The Tribe at equal levels — settle the lane rivalry with numbers.,Multiplicative Mult,Independent,Win a run without playing a Straight.,,1,1,1,134
The Tribe,Rare,8,X2 Mult if played hand contains a Flush,xMult,no,hand:Flush|xmult,The_Tribe.png,xMult Payoff,×2 on hands containing a Flush — the flush build's standing multiplier. Unconditional in a mono-suit deck; the first 'real engine' most flush runs buy.,Optimizer: your flush with Tribe alone vs. Tribe + Blueprint copying it — ×2 vs. ×4 is the whole endgame plan.,Multiplicative Mult,Independent,Win a run without playing a Flush.,,1,1,1,135
The Trio,Rare,8,X3 Mult if played hand contains a Three of a Kind,xMult,no,hand:Three of a Kind|xmult,The_Trio.png,xMult Payoff,"×3 on hands containing Three of a Kind — trips/full-house decks' payoff. Harder condition than The Duo, bigger reward; rank-sculpting makes it reliable.",Optimizer: full house with Trio (qualifies) vs. two pair with Duo — condition difficulty priced against payout.,Multiplicative Mult,Independent,Win a run without playing a Three of a Kind.,,1,1,1,132
Throwback,Uncommon,6,X0.25 Mult for each Blind skipped this run,xMult,no,blind-aware|xmult,Throwback.png,xMult Payoff,×0.25 per blind SKIPPED this run — pays you for skipping. Skip-heavy routes (tag farming) accumulate a permanent ×; a strategy joker that rewards route planning.,Two skips = ×1.5 standing. Plan a skip-heavy route and enter the final × — did the skipped shops cost less than it pays?,Multiplicative Mult,Independent,Continue a saved run from the main menu,,1,1,1,114
To Do List,Common,4,"Earn $4 if poker hand is a [Poker Hand], poker hand changes at end of round",Economy,no,economy,To_Do_List.png,Economy,$4 when you play the listed hand (changes each round) — a small bounty for flexibility. One-trick decks collect rarely; flexible players farm it.,One ante: how many bounties did you actually hit without distorting your play? That number decides the slot.,Economy,On Played,,,1,1,1,60
To the Moon,Uncommon,5,Earn an extra $1 of interest for every $5 you have at end of round,Economy,no,economy,To_the_Moon.png,Economy,+$1 interest per $5 held (on top of base interest) — doubles down on the hoarding lifestyle. With a fat bank it's the best pure economy card in the game.,At $25+ held it pays $5/round. Compute three rounds of compound difference vs. Golden Joker — hoarders win big.,Economy,N/A (Passive),,,0,1,1,84
Trading Card,Uncommon,6,"If first discard of round has only 1 card, destroy it and earn $3",Economy,no,destruction|discards|economy,Trading_Card.png,Economy,First discard of exactly ONE card destroys it and pays $3 — deck-thinning that PAYS. Surgical removal of your worst card every single round.,"One card thinner + $3, every round. After one ante, is your draw quality visibly better? Erosion says hi, too.",Economy,On Discard,,,0,1,1,95
Triboulet,Legendary,20,Played Kings and Queens each give X2 Mult when scored,xMult,no,face-cards|xmult,Triboulet.png,xMult Payoff,"Legendary: scored Kings and Queens give ×2 EACH. A royal-court engine — K/Q pairs hit ×4, and with retriggers the numbers stop being polite.",Optimizer: pair of Kings under Triboulet (×4) then add Sock and Buskin — watch retriggered royalty break the banner.,Multiplicative Mult,On Scored,Find this Joker from the Soul card.,,1,1,1,147
Troubadour,Uncommon,6,"+2 hand size, -1 hand each round",Utility,yes,hand-size|scaling,Troubadour.png,Utility/Glue,"+2 hand size, -1 hand per round — deeper selection, fewer swings. Big-hand assembly builds (flush five, straight flush hunts) accept the tempo tax.",Theory: with 10-card selection your best-play average rises enough to need fewer hands anyway. Sample it in the optimizer.,Effect,N/A (Passive),Win 5 consecutive rounds by playing only 1 hand,,0,1,1,111
Turtle Bean,Uncommon,6,"+5 hand size, reduces by 1 each round",Utility,no,hand-size,Turtle_Bean.png,Utility/Glue,"+5 hand size, shrinking by 1 each round — a rental Troubadour without the tempo cost. Ride the giant hands while they last.",Five rounds of shrinking selection: schedule your hardest blind inside the window and check the difference.,Effect,N/A (Passive),,,0,1,0,80
Vagabond,Rare,8,Create a Tarot card if hand is played with $4 or less,Economy,no,economy|tarot,Vagabond.png,Consumable Engine,"Free Tarot when you end a hand with $4 or less — pays you for being broke. Pairs beautifully with Credit Card spending: stay poor, print Tarots.",Three broke hands = three Tarots. Deliberately spend down for an ante — did the Tarot stream out-value the interest lost?,Effect,Independent,,,1,1,1,71
